#mpa_v30_CHOCOPhlAn_201901
#/Users/daniel/opt/anaconda3/envs/gmhi2_env/bin/metaphlan QC_1P.fastq.gz,QC_2P.fastq.gz --bowtie2out bowtieout.bowtie2.bz2 --index mpa_v30_CHOCOPhlAn_201901 --nproc 16 --input_type fastq -o metaphlan3.txt --add_viruses --unknown_estimation
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNKNOWN	-1	28.55808	
k__Bacteria	2	70.55607948584996	
k__Viruses	10239	0.8858441318982692	
k__Bacteria|p__Bacteroidetes	2|976	24.783982019964295	
k__Bacteria|p__Firmicutes	2|1239	15.393448398068976	
k__Bacteria|p__Proteobacteria	2|1224	11.636431942089386	
k__Bacteria|p__Actinobacteria	2|201174	11.577478066720017	
k__Bacteria|p__Fusobacteria	2|32066	7.1493361802753	
k__Viruses|p__Viruses_unclassified	10239|	0.8858441318982692	
k__Bacteria|p__Synergistetes	2|508458	0.00946605487935164	
k__Bacteria|p__Verrucomicrobia	2|74201	0.0059368238526348776	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	24.783982019964295	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	10.847641663425826	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	10.6710658050122	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	9.458817812489162	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	7.1493361802753	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.372801790763341	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.0799530200147602	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.9076696395634912	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.8858441318982692	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.7298364032941923	
