#mpa_v30_CHOCOPhlAn_201901
#/Users/daniel/opt/anaconda3/envs/test_gmwi2_2/bin/metaphlan SRR5950647_1.fastq.gz,SRR5950647_2.fastq.gz --index mpa_v30_CHOCOPhlAn_201901 --bowtie2out bowtie2out.bowtie2.bz2 --nproc 8 --input_type fastq -o poop_metaphlan.txt --add_viruses --unknown_estimation
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNKNOWN	-1	88.96582	
k__Viruses	10239	6.626162623501418	
k__Bacteria	2	4.408016720811012	
k__Viruses|p__Viruses_unclassified	10239|	6.626162623501418	
k__Bacteria|p__Bacteroidetes	2|976	3.5922653589756655	
k__Bacteria|p__Proteobacteria	2|1224	0.5330766519748156	
k__Bacteria|p__Actinobacteria	2|201174	0.2826736064425958	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	6.626162623501418	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	3.5922653589756655	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.5330766519748156	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.2826736064425958	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	3.5922653589756655	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.5330766519748156	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.2826736064425958	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae	10239|||28883|10699	6.626162623501418	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	3.2262285275867897	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	0.5330766519748156	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0.3660368313888762	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.2826736064425958	
