#mpa_v30_CHOCOPhlAn_201901
#/Users/daniel/opt/anaconda3/envs/gmhi2_env/bin/metaphlan QC_1P.fastq.gz,QC_2P.fastq.gz --bowtie2out bowtieout.bowtie2.bz2 --index mpa_v30_CHOCOPhlAn_201901 --nproc 16 --input_type fastq -o metaphlan3.txt --add_viruses --unknown_estimation
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNKNOWN	-1	26.2426	
k__Bacteria	2	73.64079994015866	
k__Viruses	10239	0.11659569101375736	
k__Bacteria|p__Bacteroidetes	2|976	28.734317681117396	
k__Bacteria|p__Proteobacteria	2|1224	16.92072101044508	
k__Bacteria|p__Firmicutes	2|1239	15.192408213057195	
k__Bacteria|p__Actinobacteria	2|201174	7.034486220750497	
k__Bacteria|p__Fusobacteria	2|32066	5.679039185496878	
k__Viruses|p__Viruses_unclassified	10239|	0.11659569101375736	
k__Bacteria|p__Verrucomicrobia	2|74201	0.07670031571685619	
k__Bacteria|p__Synergistetes	2|508458	0.0031273135747617105	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	28.734317681117396	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	15.689053636539693	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	9.96348091013911	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	6.647857328591454	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	5.679039185496878	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.78189570950924	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	1.2024815724541302	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.9043689307920575	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.3866288921590427	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.2898591890909445	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.2528034735258435	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.11659569101375736	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.07670031571685619	
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified	2|1224|	0.022584514542264997	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.0066086626485530485	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.0031273135747617105	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	28.734317681117396	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	15.688721728259356	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	9.96348091013911	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	6.647857328591454	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	5.679039185496878	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.8698679910832305	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	1.2024815724541302	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	1.0972002659301945	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.8467422775854224	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.8148274524958142	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.3734410698201891	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.2898591890909445	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.2528034735258435	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.07670031571685619	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.05763402894619813	
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified	2|1224||	0.022584514542264997	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.013187822338853628	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.011026730646860276	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.0066086626485530485	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.0031273135747617105	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.00033190828034027585	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	23.05083830040352	
