#mpa_v30_CHOCOPhlAn_201901
#/Users/daniel/opt/anaconda3/envs/gmhi2_env/bin/metaphlan QC_1P.fastq.gz,QC_2P.fastq.gz --bowtie2out bowtieout.bowtie2.bz2 --index mpa_v30_CHOCOPhlAn_201901 --nproc 16 --input_type fastq -o metaphlan3.txt --add_viruses --unknown_estimation
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNKNOWN	-1	21.85801	
k__Bacteria	2	76.39439619714435	
k__Viruses	10239	1.7475908407107015	
k__Bacteria|p__Bacteroidetes	2|976	30.719373299289167	
k__Bacteria|p__Actinobacteria	2|201174	19.356090571423547	
k__Bacteria|p__Proteobacteria	2|1224	12.015338538703	
k__Bacteria|p__Firmicutes	2|1239	8.527650673838528	
k__Bacteria|p__Fusobacteria	2|32066	5.769777711112806	
k__Viruses|p__Viruses_unclassified	10239|	1.7475908407107015	
k__Bacteria|p__Verrucomicrobia	2|74201	0.005032343965237865	
k__Bacteria|p__Synergistetes	2|508458	0.0011252446133451126	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	30.719373299289167	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	14.21834087987032	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	11.356093665058138	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	5.769777711112806	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	5.1377496915532275	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	4.373888325662083	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.760687437738246	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	1.7475908407107015	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.6613299012196134	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.7226102109338607	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.6220024026226223	
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified	2|1224|	0.02908444757548965	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.008658132163794338	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.008158023446752066	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.005032343965237865	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.0011252446133451126	
