#mpa_v30_CHOCOPhlAn_201901
#/Users/daniel/opt/anaconda3/envs/gmhi2_env/bin/metaphlan QC_1P.fastq.gz,QC_2P.fastq.gz --bowtie2out bowtieout.bowtie2.bz2 --index mpa_v30_CHOCOPhlAn_201901 --nproc 16 --input_type fastq -o metaphlan3.txt --add_viruses --unknown_estimation
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNKNOWN	-1	26.89108	
k__Bacteria	2	72.96954210331114	
k__Viruses	10239	0.13938216411584956	
k__Bacteria|p__Bacteroidetes	2|976	28.337486943170017	
k__Bacteria|p__Proteobacteria	2|1224	16.8364003873943	
k__Bacteria|p__Firmicutes	2|1239	14.762592641624463	
k__Bacteria|p__Actinobacteria	2|201174	7.453535248880876	
k__Bacteria|p__Fusobacteria	2|32066	5.48818459226177	
k__Viruses|p__Viruses_unclassified	10239|	0.13938216411584956	
k__Bacteria|p__Verrucomicrobia	2|74201	0.08951456687303762	
k__Bacteria|p__Synergistetes	2|508458	0.0018277231066856751	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	28.337486943170017	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	15.517405730223514	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	9.73042496448077	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	7.047554081531428	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	5.48818459226177	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.6297703591686297	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	1.2896414240774123	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.8250634539276207	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.40598116734944883	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.3294361236414528	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.24789774040599147	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.13938216411584956	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.08951456687303762	
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified	2|1224|	0.024389137135613647	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.0049714068501850355	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.0018277231066856751	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	28.337486943170017	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	15.517405730223514	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	9.73042496448077	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	7.047554081531428	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	5.48818459226177	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.9651971278781448	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	1.2896414240774123	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.8583865016087139	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.8061794187893443	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.7748961100953122	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.3845310089693858	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.3294361236414528	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.24789774040599147	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.08951456687303762	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.050174654724735146	
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified	2|1224||	0.024389137135613647	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.021450158380063082	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.01946890653241581	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.0049714068501850355	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.0018277231066856751	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	22.51033282354232	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	15.502418400748693	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	8.681545849800848	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	7.047554081531428	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	2|32066|203490|203491|203492	5.48818459226177	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	3.886821336892903	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	1.9651971278781448	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	1.8061194195646504	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2|1224|28221|213115|194924	1.2896414240774123	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	2|1239|909932|909929|1843491	0.8583865016087139	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	0.8061794187893443	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	0.4013095070887603	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.3845310089693858	
