#mpa_v31_CHOCOPhlAn_201901
#/research/labs/surgresearch/jsung/m184679/tools/miniconda2/envs/metaphlan/bin/metaphlan Subj017_time1_ReExtract_S44_QC_1P.fastq.gz,Subj017_time1_ReExtract_S44_QC_2P.fastq.gz --bowtie2out Subj017_time1_ReExtract_S44.bowtie2.bz2 --nproc 10 --input_type fastq -o Subj017_time1_ReExtract_S44_metaphlan3.txt --add_viruses --unknown_estimation
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNKNOWN	-1	37.26968	
k__Eukaryota	2759	35.80323474792728	
k__Bacteria	2	21.17435528183939	
k__Viruses	10239	3.4896436640006425	
k__Archaea	2157	2.2630903075235387	
k__Eukaryota|p__Ascomycota	2759|4890	35.80323474792728	
k__Bacteria|p__Actinobacteria	2|201174	12.1415094535905	
k__Bacteria|p__Firmicutes	2|1239	8.556710170627861	
k__Viruses|p__Viruses_unclassified	10239|	3.4896436640006425	
k__Archaea|p__Euryarchaeota	2157|28890	2.2630903075235387	
k__Bacteria|p__Bacteroidetes	2|976	0.41555071675907945	
k__Bacteria|p__Verrucomicrobia	2|74201	0.04951303978291489	
k__Bacteria|p__Proteobacteria	2|1224	0.011065628047264901	
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	2759|4890|4891	35.80323474792728	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	11.63134887163366	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	4.923878283380694	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	3.4896436640006425	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	2.2630903075235387	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	2.11625117978523	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.3872747035286765	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.5101668549886126	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.41555071675907945	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.07013249522019364	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.059173508713066786	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.04951303978291489	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.011065628047264901	
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	2759|4890|4891|4892	35.80323474792728	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	11.610378126417103	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	4.923878283380694	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales	10239|||28883	3.299144235123465	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	2.2630903075235387	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.11625117978523	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.3872747035286765	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.41555071675907945	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.3158847879524214	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.19427579400441836	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales	10239|||548681	0.19049942887717716	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.07013249522019364	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.059173508713066786	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.04951303978291489	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0.02097074521655701	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.011065628047264901	
