#mpa_v31_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	Subj054_time3_S43_metaphlan3_new	Subj054_time2_S42_metaphlan3_new	Subj054_time1_S41_metaphlan3_new	Subj053_time2_S40_metaphlan3_new	Subj053_time1_S39_metaphlan3	Subj052_time2_S38_metaphlan3	Subj052_time1_S37_metaphlan3	Subj049_time1_S36_metaphlan3	Subj045_time1_S35_metaphlan3	Subj044_time1_S34_metaphlan3	Subj043_time2_S33_metaphlan3	Subj043_time1_S32_metaphlan3	Subj042_time1_S31_metaphlan3	Subj041_time1_S30_metaphlan3	Subj040_time1_S29_metaphlan3	Subj039_time2_S28_metaphlan3	Subj039_time1_S27_metaphlan3	Subj035_time1_S26_metaphlan3	Subj034_time2_S25_metaphlan3	Subj034_time1_S24_metaphlan3	Subj032_time2_S23_metaphlan3	Subj032_time1_S22_metaphlan3	Subj031_time1_S21_metaphlan3	Subj030_time3_S20_metaphlan3	Subj030_time2_S19_metaphlan3	Subj030_time1_S18_metaphlan3	Subj021_time2_S17_metaphlan3	Subj021_time1_S16_metaphlan3	Subj020_time1_S15_metaphlan3	Subj017_time1_ReExtract_S44_metaphlan3	Subj016_time2_S14_metaphlan3	Subj016_time1_S13_metaphlan3	Subj015_time2_S12_metaphlan3	Subj014_time1_S11_metaphlan3	Subj013_time1_S10_metaphlan3	Subj011_time2_S9_metaphlan3	Subj011_time1_S8_metaphlan3	Subj008_time2_S7_metaphlan3	Subj008_time1_S6_metaphlan3	Subj007_time1_S5_metaphlan3	Subj004_time1_S4_metaphlan3	Subj003_time1_S3_metaphlan3	Subj001_time2_S2_metaphlan3	Subj001_time1_S1_metaphlan3
UNKNOWN	-1	64.28014	55.15581	57.73963	45.37177	65.27976	68.97458	48.3065	52.55318	40.56962	77.1066	21.89047	18.36975	37.18924	59.53895	85.13503	11.145	24.68576	60.45217	28.03007	44.52437	4.1953	8.43135	43.10369	91.217	35.9622	25.89779	82.68353	64.40745	10.1355	37.26968	43.96638	74.31577	43.44486	67.28355	67.15055	31.78435	45.94186	71.08029	63.70011	57.18129	50.74503	57.09482	30.55109	47.50812
k__Archaea	2157	1.484867367827663	1.803171372167752	0.4750742156234971	0	0	0	0	0.4047830304773357	0	0	0.146142926296569	0.8325061117065462	0	0	0	0	0	0	0	0	0	0	1.718763532453632	0	0.0515888506643689	0.0411415477694395	0	0	0.0826393903237677	2.2630903075235387	0	0.0072326794930888	0	0	0	0	0	8.65608292777289	4.141679012247461	0.201988681048195	0	2.196826952215647	0	0
k__Archaea|p__Euryarchaeota	2157|28890	1.484867367827663	1.803171372167752	0.4750742156234971	0	0	0	0	0.4047830304773357	0	0	0.146142926296569	0.8325061117065462	0	0	0	0	0	0	0	0	0	0	1.718763532453632	0	0.0515888506643689	0.0411415477694395	0	0	0.0826393903237677	2.2630903075235387	0	0.0072326794930888	0	0	0	0	0	8.65608292777289	4.141679012247461	0.201988681048195	0	2.196826952215647	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.484867367827663	1.803171372167752	0.4750742156234971	0	0	0	0	0.4047830304773357	0	0	0.146142926296569	0.8325061117065462	0	0	0	0	0	0	0	0	0	0	1.718763532453632	0	0.0515888506643689	0.0411415477694395	0	0	0.0826393903237677	2.2630903075235387	0	0.0072326794930888	0	0	0	0	0	8.65608292777289	4.141679012247461	0.201988681048195	0	2.196826952215647	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	1.484867367827663	1.803171372167752	0.4750742156234971	0	0	0	0	0.4047830304773357	0	0	0.146142926296569	0.8325061117065462	0	0	0	0	0	0	0	0	0	0	1.718763532453632	0	0.0515888506643689	0.0411415477694395	0	0	0.0826393903237677	2.2630903075235387	0	0.0072326794930888	0	0	0	0	0	8.65608292777289	4.141679012247461	0.201988681048195	0	2.196826952215647	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	1.484867367827663	1.803171372167752	0.4750742156234971	0	0	0	0	0.4047830304773357	0	0	0.146142926296569	0.8325061117065462	0	0	0	0	0	0	0	0	0	0	1.718763532453632	0	0.0515888506643689	0.0411415477694395	0	0	0.0826393903237677	2.2630903075235387	0	0.0072326794930888	0	0	0	0	0	8.65608292777289	4.141679012247461	0.201988681048195	0	2.196826952215647	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	1.484867367827663	1.803171372167752	0.4750742156234971	0	0	0	0	0.4047830304773357	0	0	0.146142926296569	0.8325061117065462	0	0	0	0	0	0	0	0	0	0	1.718763532453632	0	0.0515888506643689	0.0411415477694395	0	0	0.067407358288232	2.2630903075235387	0	0.0072326794930888	0	0	0	0	0	8.65608292777289	4.141679012247461	0.201988681048195	0	2.196826952215647	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2157|28890|183925|2158|2159|2172|2173	1.484867367827663	1.803171372167752	0.4750742156234971	0	0	0	0	0.4047830304773357	0	0	0.146142926296569	0.8325061117065462	0	0	0	0	0	0	0	0	0	0	1.718763532453632	0	0.0515888506643689	0.0411415477694395	0	0	0.067407358288232	2.2630903075235387	0	0.0072326794930888	0	0	0	0	0	8.65608292777289	4.141679012247461	0.201988681048195	0	2.196826952215647	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	2157|28890|183925|2158|2159|2316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0152320320355356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	2157|28890|183925|2158|2159|2316|2317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0152320320355356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
