accession	run_id
SAMN06831159	SRR8956684
SAMN06831158	SRR8956683
SAMN06831132	SRR8956669
SAMN06831103	SRR8956663
SAMN06831096	SRR8956660
SAMN06831099	SRR8956659
SAMN06831186	SRR8956633
SAMN06831248	SRR8956599
SAMN06831252	SRR8956596
SAMN06831245	SRR8956593
SAMN06831214	SRR8956585
SAMN06831138	SRR8956567
SAMN06831142	SRR8956566
SAMN06831140	SRR8956565
SAMN06831203	SRR8956561
SAMN06831200	SRR8956558
SAMN06831195	SRR8956553
SAMN06831222	SRR8956548
SAMN06831224	SRR8956546
SAMN06831146	SRR8956541
SAMN06831147	SRR8956538
SAMN06831153	SRR8956536
SAMN06831114	SRR8956521
SAMN06831122	SRR8956519
SAMN06831128	SRR8956673
SAMN06831129	SRR8956672
SAMN06831095	SRR8956657
SAMN06831235	SRR8956654
SAMN06831240	SRR8956653
SAMN06831244	SRR8956648
SAMN06831242	SRR8956646
SAMN06831241	SRR8956645
SAMN06831112	SRR8956644
SAMN06831107	SRR8956637
SAMN06831185	SRR8956634
SAMN06831189	SRR8956628
SAMN06831190	SRR8956627
SAMN06831187	SRR8956626
SAMN06831188	SRR8956625
SAMN06831081	SRR8956622
SAMN06831175	SRR8956618
SAMN06831182	SRR8956617
SAMN06831184	SRR8956615
SAMN06831183	SRR8956614
SAMN06831179	SRR8956610
SAMN06831086	SRR8956603
SAMN06831253	SRR8956594
SAMN06831207	SRR8956592
SAMN06831210	SRR8956589
SAMN06831212	SRR8956587
SAMN06831206	SRR8956583
SAMN06831230	SRR8956581
SAMN06831228	SRR8956579
SAMN06831233	SRR8956578
SAMN06831234	SRR8956577
SAMN06831231	SRR8956576
SAMN06831232	SRR8956575
SAMN06831225	SRR8956574
SAMN06831136	SRR8956569
SAMN06831217	SRR8956551
SAMN06831215	SRR8956543
SAMN06831150	SRR8956539
SAMN06831171	SRR8956530
SAMN06831116	SRR8956513
SAMN16351804	SRR12771482
SAMN16351792	SRR12771469
SAMN16351777	SRR12771521
SAMN16351772	SRR12771537
SAMN16351770	SRR12771493
SAMN16351779	SRR12771453
SAMN16351801	SRR12771479
SAMN16351803	SRR12771481
SAMN16351806	SRR12771570
SAMN16351807	SRR12771484
SAMN16351773	SRR12771548
SAMN16351810	SRR12771487
SAMN16351780	SRR12771575
SAMN16351769	SRR12771571
SAMN16351797	SRR12771475
SAMN16351774	SRR12771569
SAMN16351809	SRR12771486
SAMN16351802	SRR12771480
SAMN16351784	SRR12771461
SAMN16351782	SRR12771573
SAMN16351776	SRR12771510
SAMN16351771	SRR12771504
SAMEA7045073	ERR4333989
SAMEA7041245	ERR4333882
SAMEA7045454	ERR4335119
SAMEA7041158	ERR4330051
SAMEA7045584	ERR4335249
SAMEA7045499	ERR4335164
SAMEA7045211	ERR4334126
SAMEA7045679	ERR4341686
SAMEA7045636	ERR4335301
SAMEA7045762	ERR4341769
SAMEA7045777	ERR4341784
SAMEA7045290	ERR4334205
SAMEA7045112	ERR4334028
SAMEA7045874	ERR4341881
SAMEA7045574	ERR4335239
SAMEA7045815	ERR4341822
SAMEA7045467	ERR4335132
SAMEA7045795	ERR4341802
